p_number,planned_start_date,configuration_item,short_description,description,affected_customers,state,completion_code
PRJ-2500,2025-11-01,GE90-115B,RVSM calibration,Validate ETOPS 180 capability per FAA AC 120-42B,,Completed,C01
PRJ-2501,2025-11-02,CFM56-7B,RVSM calibration,Calibrate pitot-static system for RVSM per MMEL 34-10,Interline Partners,In Progress,C01
PRJ-2502,2025-11-03,CFM56-7B,TCAS upgrade,Calibrate pitot-static system for RVSM per MMEL 34-10,,In Progress,C01
PRJ-2503,2025-11-04,PW4000,ETOPS validation,Calibrate pitot-static system for RVSM per MMEL 34-10,Cargo Division,Deferred,C01
PRJ-2504,2025-11-05,GE90-115B,ETOPS validation,Perform SB 737-28-1125 to comply with AD 2023-01-05,Cargo Division,In Progress,C01
PRJ-2505,2025-11-06,CFM56-7B,ETOPS validation,Perform SB 737-28-1125 to comply with AD 2023-01-05,Cargo Division,In Progress,C99
PRJ-2506,2025-11-07,PW4000,TCAS upgrade,Upgrade TCAS to version 7.1 per DO-185B,,Scheduled,C15
PRJ-2507,2025-11-08,GE90-115B,TCAS upgrade,Perform SB 737-28-1125 to comply with AD 2023-01-05,,Scheduled,C01
PRJ-2508,2025-11-09,GE90-115B,RVSM calibration,Upgrade TCAS to version 7.1 per DO-185B,Charter Ops,In Progress,C15
PRJ-2509,2025-11-10,PW4000,RVSM calibration,Perform SB 737-28-1125 to comply with AD 2023-01-05,Cargo Division,Deferred,C01
PRJ-2510,2025-11-11,PW4000,RVSM calibration,Perform SB 737-28-1125 to comply with AD 2023-01-05,Interline Partners,Completed,C99
PRJ-2511,2025-11-12,GE90-115B,AD compliance check,Perform SB 737-28-1125 to comply with AD 2023-01-05,Cargo Division,Deferred,C07
PRJ-2512,2025-11-13,V2500-A5,ETOPS validation,Upgrade TCAS to version 7.1 per DO-185B,Interline Partners,Completed,C15
PRJ-2513,2025-11-14,GE90-115B,RVSM calibration,Perform SB 737-28-1125 to comply with AD 2023-01-05,Charter Ops,Deferred,C99
PRJ-2514,2025-11-15,CFM56-7B,TCAS upgrade,Upgrade TCAS to version 7.1 per DO-185B,Charter Ops,Scheduled,C07
PRJ-2515,2025-11-16,PW4000,TCAS upgrade,Upgrade TCAS to version 7.1 per DO-185B,Cargo Division,Completed,C15
PRJ-2516,2025-11-17,GE90-115B,ETOPS validation,Perform SB 737-28-1125 to comply with AD 2023-01-05,,Deferred,C15
PRJ-2517,2025-11-18,V2500-A5,ETOPS validation,Perform SB 737-28-1125 to comply with AD 2023-01-05,Interline Partners,Deferred,C15
PRJ-2518,2025-11-19,PW4000,AD compliance check,Validate ETOPS 180 capability per FAA AC 120-42B,Charter Ops,In Progress,C07
PRJ-2519,2025-11-20,GE90-115B,ETOPS validation,Calibrate pitot-static system for RVSM per MMEL 34-10,Cargo Division,Scheduled,C15
